timestamp,open,high,low,close,volume
2019-04-12,178.0000,179.6300,177.9500,179.1000,12321151
2019-04-11,178.2400,178.4000,177.0000,177.5100,8070967
2019-04-10,178.1800,178.7900,176.5400,177.8200,11701479
2019-04-09,175.6200,179.1900,175.5500,177.5800,19751031
2019-04-08,175.2100,175.5000,174.2300,174.9300,7297379
2019-04-05,176.8800,177.0000,175.1000,175.7200,9594133
2019-04-04,176.0200,178.0000,175.5301,176.0200,17847731
2019-04-03,174.5000,177.9600,172.9500,173.5400,27590058
2019-04-02,170.1400,174.9000,169.5500,174.2000,23946529
2019-04-01,167.8300,168.9000,167.2789,168.7000,10381490
2019-03-29,166.3900,167.1900,164.8100,166.6900,13455454
2019-03-28,164.5700,166.7200,163.3300,165.5500,10689171
2019-03-27,167.8500,168.9400,164.7900,165.8700,10620299
2019-03-26,167.3500,169.4500,166.3499,167.6800,15437920
2019-03-25,163.0000,166.5400,162.0000,166.2900,12631230
2019-03-22,165.6500,167.4200,164.0900,164.3400,16389185
2019-03-21,164.8900,166.3900,163.7500,166.0800,16223007
2019-03-20,161.5000,166.1200,161.2400,165.4400,20211474
2019-03-19,161.4800,163.8200,160.8200,161.5700,25611488
2019-03-18,163.5700,163.9000,159.2800,160.4700,37524191
2019-03-15,167.1600,167.5800,162.5100,165.9800,37126000
2019-03-14,169.7600,171.1500,168.1600,170.1700,18037364
2019-03-13,172.3200,174.0300,172.1200,173.3700,11973280
2019-03-12,172.0900,173.8000,171.2178,171.9200,12155264
2019-03-11,171.6000,174.3000,171.5800,172.0700,18883983
2019-03-08,166.2000,169.6200,165.9700,169.6000,13184831
2019-03-07,171.5000,171.7400,167.6100,169.1300,18306504
2019-03-06,172.9000,173.5700,171.2700,172.5100,21531723
2019-03-05,167.3700,171.8800,166.5500,171.2600,28187890
2019-03-04,163.9000,167.5000,163.8300,167.3700,18894689
2019-03-01,162.6000,163.1320,161.6900,162.2800,11097770
2019-02-28,162.3700,163.5000,160.8600,161.4500,11114185
2019-02-27,162.9000,163.9300,160.4100,162.8100,12697485
2019-02-26,164.3350,166.2400,163.8000,164.1300,13784063
2019-02-25,163.0700,166.0700,162.9000,164.6200,18737106
2019-02-22,160.5800,162.4100,160.3100,161.8900,15858468
2019-02-21,161.9300,162.2400,159.5900,160.0400,15607828
2019-02-20,162.2500,163.7200,161.2500,162.5600,11770692
2019-02-19,160.5000,164.1500,160.3300,162.2900,14345390
2019-02-15,164.5100,164.7000,160.8600,162.5000,15504415
2019-02-14,163.1900,164.8697,162.2468,163.9500,12755151
2019-02-13,165.3800,166.2200,163.7300,164.0700,14205146
2019-02-12,166.8600,168.3400,164.5000,165.0400,16292290
2019-02-11,167.9000,168.3000,165.0800,165.7900,12811176
2019-02-08,164.4700,167.3700,164.2100,167.3300,12561422
2019-02-07,168.2000,169.2400,165.2500,166.3800,17517609
2019-02-06,171.2000,172.4700,169.2700,170.4900,13281161
2019-02-05,169.1500,171.9800,168.6900,171.1600,22556985
2019-02-04,165.7000,169.3000,163.6200,169.2500,20036470
2019-02-01,165.8400,169.1000,165.6600,165.7100,30806513
2019-01-31,165.6000,171.6800,165.0000,166.6900,77233602
2019-01-30,146.2200,150.9500,145.6953,150.4200,44613240
2019-01-29,148.0900,148.1000,143.4300,144.1900,17631953
2019-01-28,148.0500,148.9600,146.2100,147.4700,15508483
2019-01-25,147.4800,149.8300,146.5400,149.0100,22250954
2019-01-24,144.6400,146.4400,142.5200,145.8300,20955518
2019-01-23,148.2800,148.8000,143.0550,144.3000,20098415
2019-01-22,149.2000,151.5300,146.3700,147.5700,22378694
2019-01-18,149.7500,152.4300,148.5500,150.0400,31029612
2019-01-17,146.9500,149.0000,146.5000,148.3000,15787914
2019-01-16,149.0000,149.6499,146.9975,147.5400,18025714
2019-01-15,146.0100,150.6800,145.9900,148.9500,24068822
2019-01-14,142.0000,146.5700,141.2700,145.3900,20520278
2019-01-11,143.1500,145.3600,142.5700,143.8000,12908031
2019-01-10,143.0800,144.5600,140.8400,144.2000,16125004
