timestamp,open,high,low,close,volume
2019-03-01,139.3100,140.0400,138.6400,139.2000,3030044
2019-02-28,138.7700,139.0550,137.7200,138.1300,3457788
2019-02-27,139.2500,139.5700,138.4007,139.1700,2530968
2019-02-26,139.6700,140.4900,139.4700,139.7200,3060381
2019-02-25,140.0000,140.4700,139.3200,139.4600,3194161
2019-02-22,138.7300,139.3800,138.4300,139.2500,3113698
2019-02-21,137.8200,138.3500,137.3500,137.8400,2937467
2019-02-20,138.7600,139.2400,137.2203,138.0000,3801979
2019-02-19,137.8100,138.7000,137.3600,138.7000,3385675
2019-02-15,137.5800,138.1850,137.3850,138.0300,3844062
2019-02-14,137.1700,137.6019,136.2100,136.4800,2789839
2019-02-13,136.9200,137.9200,136.4100,137.5200,4253042
2019-02-12,135.1500,136.2000,134.8600,136.0500,3317161
2019-02-11,134.2900,135.1500,133.9100,133.9900,3095069
2019-02-08,132.3400,133.7100,132.1900,133.7100,3250074
2019-02-07,133.5500,134.4700,132.1200,133.1900,4379439
2019-02-06,135.2200,136.6500,135.1700,136.3200,4879670
2019-02-05,135.2800,135.8200,134.9200,135.5500,5398907
2019-02-04,134.0200,135.2000,132.9900,135.1900,3966597
2019-02-01,134.9700,135.2000,133.3500,134.1000,3806047
2019-01-31,134.4500,134.7160,133.7400,134.4200,4884031
2019-01-30,134.0000,135.0300,133.2500,134.3800,4500919
2019-01-29,134.2900,135.4149,133.6000,134.3300,5037129
2019-01-28,133.1000,134.8050,132.5800,134.2700,5357736
2019-01-25,132.8700,134.4400,132.4300,133.9700,5708500
2019-01-24,132.6300,133.2054,131.4300,132.5300,6322928
2019-01-23,131.3700,135.0000,130.3100,132.8900,22063666
2019-01-22,123.3000,123.8000,121.5400,122.5200,10052384
2019-01-18,123.2700,124.7175,122.7100,123.8200,6008509
2019-01-17,120.5600,122.4085,120.5500,122.1900,5029871
2019-01-16,121.5800,122.0000,120.8300,121.6200,3841100
2019-01-15,120.9600,121.9300,120.8200,121.7300,3507719
2019-01-14,120.5100,120.6548,119.7607,120.3900,5228909
2019-01-11,121.5800,121.6150,120.2000,121.4600,3722370
2019-01-10,120.0800,121.8600,119.9500,121.7900,3909971
2019-01-09,120.9100,121.4000,119.8700,120.6900,3633663
2019-01-08,119.6600,120.5700,118.9800,119.8300,4763636
2019-01-07,117.5000,118.8300,116.6700,118.1500,3751204
2019-01-04,114.9100,117.4900,114.4400,117.3200,4477755
2019-01-03,114.5300,114.8800,112.6900,112.9100,4346659
2019-01-02,112.0100,115.9800,111.6900,115.2100,4239924
2018-12-31,113.3300,114.3500,112.4201,113.6700,4982755
2018-12-28,114.2200,114.8000,112.5000,113.0300,5117533
2018-12-27,109.9900,113.7800,109.4699,113.7800,6045590
2018-12-26,108.0000,111.3900,105.9400,111.3900,6645794
2018-12-24,109.9000,111.0000,107.5000,107.5700,3821376
2018-12-21,112.5000,115.2800,110.4400,110.9400,10386453
2018-12-20,115.7000,116.4500,111.7000,113.0200,8454350
2018-12-19,117.1500,120.2700,115.9700,116.4300,6979823
2018-12-18,116.9000,118.2300,116.0200,116.6500,6290186
2018-12-17,119.0700,119.7800,115.0700,116.1000,7374476
2018-12-14,119.5000,121.1100,119.4400,119.9000,4554204
2018-12-13,121.2600,121.7900,120.1700,120.7300,3993597
2018-12-12,122.5100,122.8800,121.0000,121.1600,3560790
2018-12-11,123.2500,123.8100,120.0000,120.8900,5043081
2018-12-10,119.7400,121.6822,118.5200,121.1300,6549506
2018-12-07,123.9000,124.0500,118.8700,119.3400,7019616
2018-12-06,119.7200,123.9100,119.3010,123.9100,6938049
2018-12-04,124.4900,124.9200,121.3300,121.6000,6000697
2018-12-03,125.6700,126.5900,124.3600,125.3100,5843112
2018-11-30,121.6600,124.6900,121.4800,124.2700,7251590
